iter	Passed	Remaining
184	726	3200
185	730	3194
186	733	3190
187	737	3185
188	741	3180
189	745	3176
190	748	3171
191	752	3166
192	756	3161
193	759	3156
194	763	3149
195	766	3144
196	769	3138
197	773	3133
198	777	3128
199	781	3124
200	784	3119
201	788	3114
202	792	3110
203	795	3105
204	799	3100
205	803	3095
206	807	3092
207	810	3087
208	814	3081
209	817	3074
210	820	3069
211	824	3066
212	828	3061
213	832	3056
214	836	3053
215	840	3052
216	844	3048
217	848	3044
218	852	3038
219	856	3035
220	859	3031
221	863	3026
222	866	3020
223	871	3017
224	874	3011
225	877	3006
226	881	3001
227	885	2997
228	889	2993
229	892	2989
230	896	2983
231	900	2979
232	903	2975
233	907	2971
234	911	2967
235	915	2964
236	921	2965
237	926	2966
238	931	2965
239	936	2966
240	943	2971
241	947	2967
242	951	2964
243	957	2966
244	961	2961
245	965	2958
246	970	2958
247	975	2957
248	978	2951
249	982	2946
250	988	2950
251	993	2947
252	996	2942
253	1000	2939
254	1006	2939
255	1009	2934
256	1013	2929
257	1018	2928
258	1024	2929
259	1027	2924
260	1031	2919
261	1037	2922
262	1041	2918
263	1045	2913
264	1048	2908
265	1055	2912
266	1059	2908
267	1063	2905
268	1070	2909
269	1073	2903
270	1077	2897
271	1080	2891
272	1087	2897
273	1092	2895
274	1097	2892
275	1103	2894
276	1107	2891
277	1112	2888
278	1118	2891
279	1123	2889
280	1127	2885
281	1134	2889
282	1138	2884
283	1142	2879
284	1146	2875
285	1152	2877
286	1156	2872
287	1160	2868
288	1167	2872
289	1171	2868
290	1175	2863
291	1180	2861
292	1185	2861
293	1189	2856
294	1193	2851
295	1200	2855
296	1204	2851
297	1208	2847
298	1215	2850
299	1220	2846
300	1224	2843
301	1229	2842
302	1235	2841
303	1239	2837
304	1243	2832
305	1249	2834
306	1253	2829
307	1257	2825
308	1263	2826
309	1267	2821
310	1271	2816
311	1275	2811
312	1282	2815
313	1286	2810
314	1290	2805
315	1298	2810
316	1302	2805
317	1306	2801
318	1312	2802
319	1316	2797
320	1320	2793
321	1324	2787
322	1330	2788
323	1333	2783
324	1337	2778
325	1342	2776
326	1349	2778
327	1354	2775
328	1361	2776
329	1366	2773
330	1370	2769
331	1375	2766
332	1380	2764
333	1384	2760
334	1388	2755
335	1392	2752
336	1396	2747
337	1400	2742
338	1404	2738
339	1408	2734
340	1412	2729
341	1416	2725
342	1421	2722
343	1425	2718
344	1429	2713
345	1433	2709
346	1437	2705
347	1441	2701
348	1445	2696
349	1449	2692
350	1454	2689
351	1458	2685
352	1462	2680
353	1466	2675
354	1470	2672
355	1474	2667
356	1478	2662
357	1482	2658
358	1487	2655
359	1491	2650
360	1495	2646
361	1499	2642
362	1504	2640
363	1508	2635
364	1511	2630
365	1516	2626
366	1521	2623
367	1525	2619
368	1529	2614
369	1532	2610
370	1537	2607
371	1542	2603
372	1546	2600
373	1552	2597
374	1556	2594
375	1561	2590
376	1564	2585
377	1568	2581
378	1572	2576
379	1576	2572
380	1580	2567
381	1584	2563
382	1588	2559
383	1591	2553
384	1595	2549
385	1600	2545
386	1603	2540
387	1608	2536
388	1611	2531
389	1616	2527
390	1620	2523
391	1623	2518
392	1627	2514
393	1632	2510
394	1636	2506
395	1639	2501
396	1643	2496
397	1647	2492
398	1651	2488
399	1655	2483
400	1659	2478
401	1663	2473
402	1667	2469
403	1671	2465
404	1675	2461
405	1679	2456
406	1683	2452
407	1687	2447
408	1690	2443
409	1694	2438
410	1698	2434
411	1702	2429
412	1705	2424
413	1709	2419
414	1713	2415
415	1717	2410
416	1720	2405
417	1724	2401
418	1728	2397
419	1732	2392
420	1736	2387
421	1739	2382
422	1743	2378
423	1747	2374
424	1751	2369
425	1755	2364
426	1759	2360
427	1763	2356
428	1766	2351
429	1770	2346
430	1774	2342
431	1778	2337
432	1782	2333
433	1786	2329
434	1790	2325
435	1793	2320
436	1797	2316
437	1801	2312
438	1805	2307
439	1808	2302
440	1812	2297
441	1817	2294
442	1821	2289
443	1824	2285
444	1829	2281
445	1833	2277
446	1837	2272
447	1840	2268
448	1844	2264
449	1848	2259
450	1852	2254
451	1856	2250
452	1860	2246
453	1863	2241
454	1867	2236
455	1870	2232
456	1874	2227
457	1879	2223
458	1883	2219
459	1887	2215
460	1892	2212
461	1898	2210
462	1901	2205
463	1906	2202
464	1913	2201
465	1917	2197
466	1922	2193
467	1928	2192
468	1933	2189
469	1939	2186
470	1943	2182
471	1947	2179
472	1951	2174
473	1957	2172
474	1962	2169
475	1966	2165
476	1971	2161
477	1977	2159
478	1980	2154
479	1984	2150
480	1989	2147
481	1994	2143
482	1998	2139
483	2002	2134
484	2008	2132
485	2012	2128
486	2015	2123
487	2019	2119
488	2025	2116
489	2029	2111
490	2032	2107
491	2036	2102
492	2041	2099
493	2046	2095
494	2049	2091
495	2054	2087
496	2059	2084
497	2066	2082
498	2073	2082
499	2078	2078
500	2082	2074
501	2089	2073
502	2095	2070
503	2099	2065
504	2106	2064
505	2110	2060
506	2114	2055
507	2119	2052
508	2124	2049
509	2127	2044
510	2131	2039
511	2138	2038
512	2142	2033
513	2145	2028
514	2149	2024
515	2154	2021
516	2158	2016
517	2162	2011
518	2166	2007
519	2185	2017
520	2189	2012
521	2192	2008
522	2196	2003
523	2202	2000
524	2206	1996
525	2210	1991
526	2214	1987
527	2220	1984
528	2223	1979
529	2227	1975
530	2232	1972
531	2237	1968
532	2241	1963
533	2245	1959
534	2252	1957
535	2255	1952
536	2259	1948
537	2265	1945
538	2270	1941
539	2274	1937
540	2277	1932
541	2285	1931
542	2289	1926
543	2293	1922
544	2300	1920
545	2304	1916
546	2309	1912
547	2316	1910
548	2322	1907
549	2326	1903
550	2335	1903
551	2339	1898
552	2343	1894
553	2349	1891
554	2353	1886
555	2357	1882
556	2361	1878
557	2365	1873
558	2369	1869
559	2373	1864
560	2377	1860
561	2381	1856
562	2385	1851
563	2389	1847
564	2393	1843
565	2397	1838
566	2402	1834
567	2406	1830
568	2410	1825
569	2413	1821
570	2417	1816
571	2421	1811
572	2425	1807
573	2429	1803
574	2433	1798
575	2437	1794
576	2441	1789
577	2445	1785
578	2449	1780
579	2452	1776
580	2456	1771
581	2460	1767
582	2464	1762
583	2468	1758
584	2472	1753
585	2476	1749
586	2479	1744
587	2483	1739
588	2486	1735
589	2490	1730
590	2494	1726
591	2497	1721
592	2501	1716
593	2505	1712
594	2509	1708
595	2513	1703
596	2517	1699
597	2521	1694
598	2525	1690
599	2528	1685
600	2532	1681
601	2535	1676
602	2539	1672
603	2543	1667
604	2546	1662
605	2550	1658
606	2553	1653
607	2557	1649
608	2561	1644
609	2565	1640
610	2568	1635
611	2572	1630
612	2576	1626
613	2580	1622
614	2583	1617
615	2587	1613
616	2591	1608
617	2594	1604
618	2598	1599
619	2602	1594
620	2606	1590
621	2609	1586
622	2613	1581
623	2617	1577
624	2621	1572
625	2625	1568
626	2628	1563
627	2632	1559
628	2636	1555
629	2640	1550
630	2643	1545
631	2647	1541
632	2651	1537
633	2654	1532
634	2658	1528
635	2662	1523
636	2665	1519
637	2669	1514
638	2673	1510
639	2677	1506
640	2681	1501
641	2684	1497
642	2688	1492
643	2691	1488
644	2695	1483
645	2699	1479
646	2703	1474
647	2707	1470
648	2710	1465
649	2714	1461
650	2718	1457
651	2722	1452
652	2725	1448
653	2729	1443
654	2732	1439
655	2736	1435
656	2740	1430
657	2743	1426
658	2747	1421
659	2751	1417
660	2754	1412
661	2758	1408
662	2761	1403
663	2765	1399
664	2769	1395
665	2772	1390
666	2776	1385
667	2780	1381
668	2784	1377
669	2787	1373
670	2791	1368
671	2795	1364
672	2799	1360
673	2802	1355
674	2806	1351
675	2809	1346
676	2814	1342
677	2818	1338
678	2822	1334
679	2826	1329
680	2829	1325
681	2833	1321
682	2836	1316
683	2840	1312
684	2843	1307
685	2847	1303
686	2851	1299
687	2854	1294
688	2858	1290
689	2861	1285
690	2865	1281
691	2869	1277
692	2873	1272
693	2877	1268
694	2880	1264
695	2884	1259
696	2888	1255
697	2891	1251
698	2895	1246
699	2899	1242
700	2902	1238
701	2906	1233
702	2910	1229
703	2914	1225
704	2917	1220
705	2921	1216
706	2924	1212
707	2929	1208
708	2932	1203
709	2936	1199
710	2940	1195
711	2943	1190
712	2947	1186
713	2950	1181
714	2953	1177
715	2957	1173
716	2961	1168
717	2965	1164
718	2968	1160
719	2972	1155
720	2977	1152
721	2981	1147
722	2985	1143
723	2989	1139
724	2994	1135
725	2998	1131
726	3001	1127
727	3005	1123
728	3010	1119
729	3014	1114
730	3018	1110
731	3023	1106
732	3030	1103
733	3036	1100
734	3044	1097
735	3048	1093
736	3053	1089
737	3059	1086
738	3064	1082
739	3068	1078
740	3073	1074
741	3078	1070
742	3082	1066
743	3086	1061
744	3090	1057
745	3094	1053
746	3098	1049
747	3102	1045
748	3107	1041
749	3111	1037
750	3115	1032
751	3119	1028
752	3123	1024
753	3126	1020
754	3130	1015
755	3134	1011
756	3138	1007
757	3141	1003
758	3145	998
759	3148	994
760	3152	990
761	3156	985
762	3160	981
763	3164	977
764	3168	973
765	3172	969
766	3175	964
767	3179	960
768	3182	956
769	3186	951
770	3189	947
771	3193	943
772	3197	939
773	3201	934
774	3206	930
775	3210	926
776	3214	922
777	3217	918
778	3222	914
779	3226	910
780	3230	905
781	3235	901
782	3239	897
783	3243	893
784	3246	889
785	3250	885
786	3255	881
787	3259	876
788	3262	872
789	3266	868
790	3271	864
791	3275	860
792	3279	855
793	3282	851
794	3287	847
795	3291	843
796	3295	839
797	3298	835
798	3303	831
799	3307	826
800	3311	822
801	3315	818
802	3320	814
803	3324	810
804	3328	806
805	3333	802
806	3337	798
807	3341	794
808	3345	789
809	3350	785
810	3355	781
811	3359	777
812	3362	773
813	3370	770
814	3375	766
815	3380	762
816	3388	759
817	3393	754
818	3396	750
819	3400	746
820	3404	742
821	3408	738
822	3412	733
823	3417	729
824	3421	725
825	3424	721
826	3428	717
827	3434	713
828	3438	709
829	3443	705
830	3448	701
831	3452	697
832	3455	692
833	3459	688
834	3464	684
835	3468	680
836	3473	676
837	3478	672
838	3482	668
839	3487	664
840	3492	660
841	3497	656
842	3501	652
843	3506	648
844	3513	644
845	3519	640
846	3528	637
847	3534	633
848	3539	629
849	3545	625
850	3550	621
851	3554	617
852	3558	613
853	3564	609
854	3569	605
855	3573	601
856	3581	597
857	3585	593
858	3589	589
859	3594	585
860	3598	580
861	3601	576
862	3605	572
863	3609	568
864	3613	563
865	3617	559
866	3621	555
867	3627	551
868	3631	547
869	3635	543
870	3639	539
871	3644	534
872	3648	530
873	3652	526
874	3656	522
875	3660	518
876	3664	513
877	3667	509
878	3672	505
879	3679	501
880	3682	497
881	3686	493
882	3693	489
883	3699	485
884	3703	481
885	3707	477
886	3711	472
887	3715	468
888	3719	464
889	3724	460
890	3728	456
891	3732	451
892	3736	447
893	3742	443
894	3746	439
895	3750	435
896	3755	431
897	3758	426
898	3762	422
899	3766	418
900	3770	414
901	3775	410
902	3782	406
903	3788	402
904	3792	398
905	3795	393
906	3799	389
907	3804	385
908	3808	381
909	3812	377
910	3816	372
911	3821	368
912	3825	364
913	3829	360
914	3833	356
915	3837	351
916	3841	347
917	3845	343
918	3849	339
919	3853	335
920	3857	330
921	3861	326
922	3865	322
923	3869	318
924	3873	314
925	3876	309
926	3880	305
927	3885	301
928	3889	297
929	3893	293
930	3898	288
931	3904	284
932	3908	280
933	3913	276
934	3918	272
935	3921	268
936	3925	263
937	3929	259
938	3933	255
939	3937	251
940	3942	247
941	3946	242
942	3950	238
943	3954	234
944	3958	230
945	3962	226
946	3967	222
947	3971	217
948	3975	213
949	3980	209
950	3986	205
951	3990	201
952	3994	197
953	3999	192
954	4004	188
955	4009	184
956	4014	180
957	4018	176
958	4023	172
959	4028	167
960	4034	163
961	4038	159
962	4043	155
963	4048	151
964	4052	146
965	4056	142
966	4059	138
967	4064	134
968	4068	130
969	4071	125
970	4075	121
971	4079	117
972	4083	113
973	4086	109
974	4090	104
975	4094	100
976	4098	96
977	4101	92
978	4105	88
979	4110	83
980	4114	79
981	4118	75
982	4121	71
983	4126	67
984	4129	62
985	4133	58
986	4137	54
987	4140	50
988	4144	46
989	4148	41
990	4152	37
991	4156	33
992	4160	29
993	4163	25
994	4167	20
995	4171	16
996	4176	12
997	4182	8
998	4187	4
999	4192	0
