iter	RMSE
180	0.09477345544
181	0.09457377461
182	0.09446398571
183	0.09415944283
184	0.09395904333
185	0.09381400267
186	0.09366823901
187	0.09346991707
188	0.09332509847
189	0.09307851076
190	0.09283637147
191	0.09257199931
192	0.09236227613
193	0.09215713061
194	0.0919562019
195	0.09177754635
196	0.09157389786
197	0.09134288467
198	0.09105582825
199	0.09084393921
200	0.09067109446
201	0.0904532382
202	0.0902235706
203	0.09017363028
204	0.0900454768
205	0.08983053143
206	0.08965398021
207	0.08946648049
208	0.08928978969
209	0.08920042952
210	0.08902261365
211	0.08884057678
212	0.08876387898
213	0.08857792196
214	0.08841002798
215	0.08823935546
216	0.08819397481
217	0.08803410175
218	0.08799251377
219	0.08780649913
220	0.08766848612
221	0.08748030796
222	0.08742745976
223	0.08723652094
224	0.08705247702
225	0.08688910628
226	0.086770219
227	0.0865688836
228	0.08637175088
229	0.08619063953
230	0.08614573454
231	0.08601111041
232	0.08582652585
233	0.08560048014
234	0.08543460686
235	0.08517429981
236	0.08508941685
237	0.08489907162
238	0.08473457517
239	0.08454862104
240	0.08443177098
241	0.08422442414
242	0.08409110297
243	0.08388067259
244	0.08369260726
245	0.08356542679
246	0.08342193675
247	0.08318754976
248	0.08298104077
249	0.08283075177
250	0.0827057159
251	0.08252910967
252	0.08243752125
253	0.08221079939
254	0.08211316317
255	0.08192817854
256	0.08180302429
257	0.08165474351
258	0.08154078619
259	0.08139507964
260	0.08123158252
261	0.08111165971
262	0.08105972191
263	0.08094020422
264	0.08082582252
265	0.08064705819
266	0.08051191336
267	0.0803463347
268	0.0802807724
269	0.08011657021
270	0.07993268195
271	0.07989467453
272	0.07976483165
273	0.07958851797
274	0.07947118794
275	0.07930304176
276	0.07918610111
277	0.07905302395
278	0.07890682393
279	0.07879724494
280	0.07873566637
281	0.07865139947
282	0.07857982537
283	0.0784717107
284	0.07840211769
285	0.07826067742
286	0.07811813633
287	0.07798355078
288	0.07785422669
289	0.07775340946
290	0.07762036004
291	0.07757827475
292	0.07745295471
293	0.07734205302
294	0.07731553975
295	0.07723751649
296	0.07711469322
297	0.07709357785
298	0.07694597105
299	0.07692505504
300	0.07690165185
301	0.07688193943
302	0.07675892177
303	0.07660575604
304	0.0764680962
305	0.07634348366
306	0.07622608794
307	0.07613293338
308	0.07600712984
309	0.07588343304
310	0.07583031188
311	0.07579358896
312	0.07565113191
313	0.07551586205
314	0.07547151409
315	0.07542407289
316	0.07533761935
317	0.07519049742
318	0.07505759978
319	0.07495615255
320	0.074932491
321	0.07489258684
322	0.07481583812
323	0.07479909465
324	0.07470895269
325	0.07467144522
326	0.07460172217
327	0.07442565685
328	0.07431743078
329	0.07419302649
330	0.07406032393
331	0.07403535251
332	0.07385263012
333	0.07379002312
334	0.07370474867
335	0.0736903928
336	0.07358236751
337	0.07343999146
338	0.07339107561
339	0.07331481794
340	0.07329305842
341	0.07321853737
342	0.07312780964
343	0.07311330781
344	0.07300783213
345	0.07288041802
346	0.07281439054
347	0.07268622954
348	0.07257927872
349	0.07245344605
350	0.07236098945
351	0.07232815998
352	0.07224764376
353	0.0721367503
354	0.07201139966
355	0.0719746977
356	0.07183653216
357	0.07171106393
358	0.0716151326
359	0.07160290815
360	0.07151025736
361	0.0713609825
362	0.07127545748
363	0.07126367629
364	0.07117729019
365	0.07104912311
366	0.07089421731
367	0.07075951802
368	0.07074805492
369	0.07073611449
370	0.07069373687
371	0.07055809042
372	0.07045701896
373	0.07030967479
374	0.07020074915
375	0.07004342848
376	0.06998371634
377	0.06991274711
378	0.06981713104
379	0.06967365965
380	0.06957706321
381	0.0694503302
382	0.06932440249
383	0.06916850876
384	0.06906481487
385	0.06890623256
386	0.06889798121
387	0.0687607664
388	0.06862807204
389	0.06861287907
390	0.06854505371
391	0.06844283525
392	0.06835397856
393	0.06822977145
394	0.06821141031
395	0.06814999037
396	0.06803299201
397	0.06801286395
398	0.06789538819
399	0.06780361641
400	0.06779411097
401	0.06778610317
402	0.06768845165
403	0.06757041759
404	0.06747308873
405	0.06738754018
406	0.06723894335
407	0.06711493894
408	0.06700293209
409	0.06688381252
410	0.06683727366
411	0.06676325326
412	0.06675253498
413	0.06663113368
414	0.06649819228
415	0.0664109475
416	0.06639714878
417	0.06624177429
418	0.06618675593
419	0.0661104106
420	0.06603171082
421	0.06593314852
422	0.06582777754
423	0.06571146167
424	0.06566233629
425	0.065587671
426	0.06542292034
427	0.06531626254
428	0.0652441833
429	0.06514281316
430	0.06510019108
431	0.06508353461
432	0.06496546632
433	0.06483799927
434	0.06474436135
435	0.06467587173
436	0.06460973174
437	0.06451203043
438	0.06438383019
439	0.06430419924
440	0.06429306631
441	0.06421059484
442	0.06412715528
443	0.06404191705
444	0.0639273815
445	0.0638693881
446	0.06386104405
447	0.06375297948
448	0.06368342579
449	0.06356031543
450	0.06343947794
451	0.06338306966
452	0.06327231249
453	0.06317121562
454	0.06310341448
455	0.06301523346
456	0.0629281661
457	0.06291823929
458	0.0628924714
459	0.06287464564
460	0.06282694798
461	0.06274000176
462	0.06265063408
463	0.06252708174
464	0.06243740216
465	0.06238150997
466	0.06235481183
467	0.062277789
468	0.06221676688
469	0.06207421175
470	0.06206187693
471	0.06197714493
472	0.0618880252
473	0.0617904249
474	0.06169377637
475	0.06161706779
476	0.06160360875
477	0.06150090247
478	0.06143232219
479	0.06129969069
480	0.06128647307
481	0.06119379663
482	0.0611302068
483	0.06108139863
484	0.06100215451
485	0.06088755964
486	0.06078822205
487	0.06065915517
488	0.06064685088
489	0.06056193184
490	0.06053317486
491	0.06040156005
492	0.06026950621
493	0.0601940807
494	0.06013368686
495	0.06011432007
496	0.06002479286
497	0.05997964476
498	0.05988580005
499	0.05977657794
500	0.05970399651
501	0.05963495832
502	0.05955818539
503	0.05946440624
504	0.05937660426
505	0.05930076795
506	0.05923410305
507	0.05919965851
508	0.05912989343
509	0.05912064939
510	0.05903316519
511	0.05894278033
512	0.05881883504
513	0.05874000251
514	0.05868707752
515	0.05861889207
516	0.05848083789
517	0.05838719287
518	0.0583224517
519	0.05822199989
520	0.05812374958
521	0.05811718377
522	0.0580257244
523	0.05797563808
524	0.05788467853
525	0.05777806478
526	0.05773554878
527	0.05765760347
528	0.05757988405
529	0.05756873917
530	0.05755502384
531	0.05748405375
532	0.05740475355
533	0.05734646594
534	0.05733590357
535	0.05728118738
536	0.05715118967
537	0.057059497
538	0.05698053665
539	0.05689483209
540	0.05683155718
541	0.05678432413
542	0.05671913317
543	0.05666985592
544	0.05658707228
545	0.05652175672
546	0.05646949206
547	0.0564206705
548	0.05634010743
549	0.0562471211
550	0.05618775784
551	0.05611144509
552	0.05603157325
553	0.05596354261
554	0.05594976749
555	0.0558914407
556	0.05582655962
557	0.05572836393
558	0.05563306442
559	0.05552217886
560	0.05544554237
561	0.05535630445
562	0.0553485666
563	0.05526996164
564	0.05520344104
565	0.05514179219
566	0.05504606904
567	0.0549449668
568	0.05485878689
569	0.05479132678
570	0.05477666137
571	0.0547225456
572	0.05464512418
573	0.05463577246
574	0.0545433736
575	0.05441478124
576	0.05436435639
577	0.054269016
578	0.05418732613
579	0.05412689662
580	0.05403500032
581	0.05402786917
582	0.05397838718
583	0.05390228695
584	0.05384354421
585	0.05383552252
586	0.05377972195
587	0.05370444907
588	0.05360296954
589	0.05350374701
590	0.05341093826
591	0.05332012597
592	0.05324726922
593	0.05316880371
594	0.05311060439
595	0.0530354152
596	0.05295283541
597	0.05294355277
598	0.05290534328
599	0.05283142239
600	0.05273136574
601	0.05268942535
602	0.05262118389
603	0.05255053704
604	0.05250138559
605	0.05245934567
606	0.05239425532
607	0.05232971362
608	0.05232267843
609	0.05225632395
610	0.05218274188
611	0.05210039104
612	0.05203573848
613	0.05199343369
614	0.05195225303
615	0.05194435939
616	0.05187601856
617	0.05177093844
618	0.05169847795
619	0.05169035126
620	0.05168365145
621	0.0515989577
622	0.05159205489
623	0.05158545438
624	0.05151122244
625	0.05143709858
626	0.05137519008
627	0.05128960422
628	0.0512421304
629	0.05119743518
630	0.05116953819
631	0.05112417825
632	0.05102450691
633	0.05096448121
634	0.05091660324
635	0.05084973449
636	0.05077309889
637	0.05071138486
638	0.05062544178
639	0.05052284819
640	0.05045276395
641	0.05039514367
642	0.05030096674
643	0.05024170727
644	0.050179015
645	0.05012427861
646	0.05010274388
647	0.05001629193
648	0.04998187177
649	0.04991428473
650	0.04989455904
651	0.04984903583
652	0.04980323674
653	0.04975135228
654	0.04973215159
655	0.0496699927
656	0.04963920892
657	0.04958147514
658	0.0495248331
659	0.04942301285
660	0.04935210886
661	0.04927007489
662	0.049243619
663	0.04921419831
664	0.0491506849
665	0.04914469014
666	0.04913566235
667	0.0490372342
668	0.04897156901
669	0.048894094
670	0.04888913159
671	0.04883934142
672	0.04883279766
673	0.04878809045
674	0.04878342518
675	0.04877801261
676	0.04872315513
677	0.04864978671
678	0.04857754279
679	0.04850458727
680	0.04845224673
681	0.04836592591
682	0.04831365084
683	0.04824692594
684	0.04818450627
685	0.04811260093
686	0.04810675244
687	0.04807494739
688	0.04804812799
689	0.04798841616
690	0.04791480717
691	0.04785097533
692	0.04779162018
693	0.04775045076
694	0.04768971252
695	0.04761414586
696	0.04758853764
697	0.0475500042
698	0.04748174544
699	0.04741126241
700	0.04733569388
701	0.04732844775
702	0.04728610696
703	0.04721787552
704	0.04719628865
705	0.04712971318
706	0.04709076722
707	0.04706645605
708	0.04703383488
709	0.04696163435
710	0.04692356173
711	0.04689708933
712	0.04682489535
713	0.04682044939
714	0.0467716541
715	0.04670329932
716	0.0466587431
717	0.0466067443
718	0.04655280559
719	0.04654509942
720	0.04648843097
721	0.04645085091
722	0.04639180226
723	0.04630831837
724	0.04627888986
725	0.04625314029
726	0.04618527738
727	0.04612071877
728	0.04611645427
729	0.0460494966
730	0.04598077332
731	0.04591900893
732	0.04591206021
733	0.04584007444
734	0.04577960259
735	0.04572038056
736	0.04563198355
737	0.04558456789
738	0.04556301882
739	0.04547896034
740	0.04547043537
741	0.04542101424
742	0.04535072374
743	0.04528095755
744	0.04518319804
745	0.04516460356
746	0.04511221235
747	0.04506017471
748	0.04500852445
749	0.04500275239
750	0.04492956601
751	0.04488400773
752	0.04480764371
753	0.04476853312
754	0.04472447346
755	0.04466272243
756	0.04462267972
757	0.04461805781
758	0.04457225666
759	0.04450555997
760	0.04446028962
761	0.04439074328
762	0.04433199362
763	0.04432531058
764	0.04432046287
765	0.0442934043
766	0.04425713579
767	0.04422142591
768	0.04417960704
769	0.04414338752
770	0.0440804303
771	0.04404823479
772	0.04397828511
773	0.04391647336
774	0.04391233602
775	0.04385718487
776	0.04379523784
777	0.04376868408
778	0.04372315343
779	0.04366947534
780	0.04360693715
781	0.04354440015
782	0.04347260053
783	0.04346616836
784	0.04342783249
785	0.04335952074
786	0.04327772601
787	0.04319486886
788	0.04319051555
789	0.04315425575
790	0.04314908256
791	0.04310104814
792	0.0430654547
793	0.04301531837
794	0.04296388207
795	0.04296003821
796	0.04291263223
797	0.04284466361
798	0.04278539512
799	0.04272532461
800	0.04270285706
801	0.04265833435
802	0.0426525277
803	0.04260343461
804	0.04255358668
805	0.04250347439
806	0.04243112173
807	0.04240754995
808	0.04235303978
809	0.04227918148
810	0.04224818044
811	0.04219305678
812	0.04212139117
813	0.04210910859
814	0.04205817471
815	0.04198702679
816	0.04194767044
817	0.04194333401
818	0.04188470127
819	0.04185821993
820	0.04183685042
821	0.04179737426
822	0.04172968623
823	0.04168045355
824	0.04160875249
825	0.04157235455
826	0.04156843282
827	0.04153828719
828	0.041492676
829	0.0414315216
830	0.04142721015
831	0.04138505274
832	0.04134736887
833	0.04130204928
834	0.0412602891
835	0.04122627761
836	0.04120031338
837	0.0411407733
838	0.04108407625
839	0.04102546781
840	0.04096757978
841	0.0409146214
842	0.04086514222
843	0.04082130964
844	0.04078176354
845	0.04070808418
846	0.04067379368
847	0.04063000645
848	0.04060180838
849	0.04055150882
850	0.04051746148
851	0.0404854367
852	0.04043395018
853	0.04038479687
854	0.04029168147
855	0.04024875563
856	0.04020769753
857	0.04017660394
858	0.04014945416
859	0.04009935243
860	0.04004388429
861	0.03999648572
862	0.03995485933
863	0.03991414034
864	0.03988689015
865	0.03986837069
866	0.03981626941
867	0.03981162704
868	0.03974405195
869	0.03970106978
870	0.03965237175
871	0.03960901877
872	0.03959279845
873	0.03954950444
874	0.03954549856
875	0.03954137213
876	0.03946827986
877	0.03946414942
878	0.03940293843
879	0.03938363985
880	0.03931984976
881	0.03930104894
882	0.03925038013
883	0.03924672193
884	0.03921553315
885	0.03917232275
886	0.03914716198
887	0.03909849972
888	0.03905885358
889	0.03902870935
890	0.0390240891
891	0.0389665495
892	0.03896241652
893	0.0389011352
894	0.03886817226
895	0.03881681186
896	0.03877952052
897	0.03877631327
898	0.03872667589
899	0.03867698058
900	0.03862880275
901	0.03857115494
902	0.03855578863
903	0.03850683042
904	0.03849194302
905	0.03848875679
906	0.03842046503
907	0.03836506376
908	0.03832601001
909	0.03827270869
910	0.03825128442
911	0.03824829293
912	0.03819230462
913	0.03818935352
914	0.03813584595
915	0.0381332565
916	0.03810678507
917	0.03804725591
918	0.03803193608
919	0.03798227504
920	0.03795812339
921	0.03792944713
922	0.03788499541
923	0.03788186991
924	0.03785180815
925	0.03780394938
926	0.03776879403
927	0.03772898688
928	0.03772632926
929	0.03770587649
930	0.03766021364
931	0.03762316469
932	0.0375750457
933	0.03755536117
934	0.03751749553
935	0.03747079077
936	0.037455508
937	0.03738878055
938	0.0373569372
939	0.03733088012
940	0.03729242861
941	0.03725298525
942	0.03721842329
943	0.03717887041
944	0.03717069973
945	0.03714482742
946	0.03713226787
947	0.03706953516
948	0.03706707687
949	0.03703947116
950	0.03697042775
951	0.03692656645
952	0.03688046428
953	0.03684546646
954	0.03679809366
955	0.03674269009
956	0.03669293726
957	0.03664188823
958	0.03659302845
959	0.03655400762
960	0.03652696505
961	0.03649190006
962	0.0364464192
963	0.03639054257
964	0.03632683556
965	0.0362757726
966	0.03621742206
967	0.03617699816
968	0.03612439313
969	0.03610714262
970	0.03607125312
971	0.03601167458
972	0.03596247162
973	0.03593292329
974	0.03588016878
975	0.03582303399
976	0.03576873444
977	0.03571136304
978	0.03568391428
979	0.03563549497
980	0.03557398753
981	0.03552664982
982	0.03546269135
983	0.03541814935
984	0.0353846979
985	0.03531645576
986	0.03529284796
987	0.03525434247
988	0.03521959845
989	0.03517655413
990	0.03513396574
991	0.03509586987
992	0.03506450264
993	0.03503457796
994	0.0349722685
995	0.03492447675
996	0.03489821591
997	0.03484767367
998	0.03477441828
999	0.03473390665
